GoodName,ABCfee,Costbenefit,LowerBound,UpperBound
روشويي آوا 50 تك پانچ درجه سه,251.8905,0.2185,,
روشويي روکابينتي آليبرت 35 درجه سه جديد,214.0378,0.6622,,
روشويي آرتميس 57 درجه دو(دکورمرمر بژ جديدتک گل پروان TP25),99.7773,0.6681,,
روشويي آذين 60 درجه يک (دکور مرر سبز رنگ تک گل پروان TP22),98.6377,1.3623,,
(TPروشويي آذين 60 درجه دو (دکور مرر سبز رنگ 22,98.6377,1.3623,,
توالت فرنگي كاسپين سه شوتينگ (new) درجه سه,1282.1113,3.6887,,
روشويي رو کابينتي آلفا 57 درجه سه,234.6611,4.4778,,
روشويي روکابينتي آمون 53 درجه سه,310.7251,7.9749,,
كاسه توالت كامليا 20 ريم لس درجه يك,390.7446,8.1154,,
روشويي آذين 60 تك پانچ درجه سه,293.7493,8.1237,,
روشويي روکابينتي آرال 50 درجه دو (دکور مرمر آبي پررنگ TP28),94.6292,10.7416,,
پايه آدينه  (دكور مرمرسبز پر رنگ تک گل پروان 22 TP ),63.5084,12.9832,,
روشويي آرتميس 52 درجه سه(دکورمرمر صورتي سفيد TP20),92.8198,14.3604,,
روشويي آلپ50 درجه سه,212.2237,15.0763,,
روشويي روکابينتي آرال 50 درجه يک (دکور مرمر صورتي سفيد TP20),94.6291,16.1127,,
روشويي روکابينتي آروشا 40 درجه يک,292.4386,16.1614,,
"درب دوبل هيدروليک فرنگي آيسان، آرينا",244.37,16.332,,
کاسه توالت آليبرت 20 ريم لس درجه يک,427.3381,16.9619,,
پايه آوا,321.0463,17.9074,,
کاسه توالت کمند 18 ريم بسته درجه يک,410.044,19.256,,
